LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month,delay_count,max_delay,avg_delay,recent_delay,severe_delay_count,total_bill_amt,avg_bill_amt,max_bill_amt,bill_trend,total_pay_amt,avg_pay_amt,max_pay_amt,payment_to_bill_ratio,utilization_proxy
90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,0,0,0.0,0,0,31864,5310.666666666667,8292,-3548,16400,2733.3333333333335,5757,0.5146712694178566,0.059006751776832116
50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,0,0,0.0,0,0,214295,35715.833333333336,47620,17574,7891,1315.1666666666667,1973,0.036822899167506626,0.7143023806190544
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,1,1,0.16666666666666666,1,0,-394,-65.66666666666667,259,80,2500,416.6666666666667,1000,6.329113924050633,-0.001094426204007711
50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,0,0,0.0,0,0,112268,18711.333333333332,22541,2924,7112,1185.3333333333333,1500,0.06334785203395417,0.374219182283021
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,0,0,0.0,0,0,40208,6701.333333333333,30430,393,39567,6594.5,30430,0.984033425352533,0.13402398618694292
50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,0,0,0.0,0,0,97082,16180.333333333334,18375,3929,6600,1100.0,1600,0.06798306603627824,0.3236001946627734
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,0,0,0.0,0,0,113746,18957.666666666668,36923,-20277,97489,16248.166666666666,37292,0.85706875785735,0.08242427931472762
50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,1,2,0.3333333333333333,1,1,151869,25311.5,30518,6838,6934,1155.6666666666667,1718,0.045657470204780407,0.5062198756024879
100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,0,0,0.0,0,0,495237,82539.5,93036,17447,18744,3124.0,3511,0.03784846881701323,0.8253867461325387
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,0,0,0.0,0,0,125744,20957.333333333332,71439,1948,158502,26417.0,71439,1.260503399737564,0.04191458283750099
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,0,0,0.0,0,0,58318,9719.666666666666,31130,8416,45425,7570.833333333333,31178,0.778905673965603,0.019439294454744422
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,0,0,0.0,0,0,25312,4218.666666666667,30265,32149,2280,380.0,792,0.09007229486824951,0.026366501876029944
280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,0,0,0.0,0,0,1069977,178329.5,186503,9090,41923,6987.166666666667,8060,0.03918117942611904,0.6368887968257256
60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,0,0,0.0,0,0,32279,5379.833333333333,18660,-3606,53349,8891.5,47671,1.6526951672862453,0.08966239451564696
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,1,1,0.16666666666666666,1,0,780,130.0,780,0,780,130.0,780,0.998719590268886,0.0025999480010399792
280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,1,2,0.3333333333333333,0,1,51643,8607.166666666666,17976,-8979,37357,6226.166666666667,9976,0.7233560529780807,0.030739771167483925
360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,0,0,0.0,0,0,1650751,275125.1666666667,628699,39444,243840,40640.0,188840,0.1477144961811344,0.7642344512005985
70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,0,0,0.0,0,0,392856,65476.0,67521,1551,19342,3223.6666666666665,4500,0.04923419972152717,0.9353580663133384
10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,0,0,0.0,0,0,22761,3793.5,6003,-2574,7227,1204.5,2927,0.3175028556365873,0.3793120687931207
140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,0,0,0.0,0,0,385134,64189.0,69802,-10298,20000,3333.3333333333335,4000,0.051929842782400974,0.4584895822172699
40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,1,2,0.3333333333333333,0,1,147185,24530.833333333332,29197,-10270,13000,2166.6666666666665,5000,0.08832361773538244,0.6132555019457847
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,1,2,0.3333333333333333,0,1,79328,13221.333333333334,16675,14028,20075,3345.8333333333335,16741,0.25306004109468166,0.6610336149859174
150000,2,4,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,0,0,0.0,0,0,9837,1639.5,4463,4463,2183,363.8333333333333,1170,0.2218946940435048,0.010929927133819108
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,0,0,0.0,0,0,114815,19135.833333333332,32018,10528,93332,15555.333333333334,24677,0.8128832218506131,0.050357323621078184
20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,0,0,0.0,0,0,115810,19301.666666666668,20480,-2616,6246,1041.0,1318,0.0539327006933711,0.9650350815792544
70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,5,2,1.5,1,4,229012,38168.666666666664,39423,-2320,8100,1350.0,3100,0.03536917118242196,0.5452588772541345
100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,0,0,0.0,0,0,265185,44197.5,61559,28301,9606,1601.0,2000,0.036223631715098084,0.44197058029419706
310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,0,0,0.0,0,0,44125,7354.166666666667,13465,13001,30668,5111.333333333333,11185,0.6950097448216471,0.023723041753628753
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,2,2,0.5,1,1,259151,43191.833333333336,45319,-3917,10246,1707.6666666666667,2010,0.03953664258813361,0.2399532965557599
150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,1,2,0.3333333333333333,1,1,176751,29458.5,46224,29684,12867,2144.5,5000,0.07279691318910111,0.19638869074206172
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,0,0,0.0,0,0,8388,1398.0,3640,-625,6483,1080.5,3640,0.7727977112885922,0.002795994408011184
180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,0,0,0.0,0,0,55404,9234.0,16386,8065,29179,4863.166666666667,9000,0.5266492193845321,0.051299715001583326
180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,0,0,0.0,0,0,952362,158727.0,175886,45968,34062,5677.0,8083,0.035765774184843384,0.8818117677124016
200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,5,3,1.8333333333333333,1,5,6747,1124.5,1587,173,1900,316.6666666666667,1200,0.2815649081209247,0.005622471887640562
400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,0,0,0.0,0,0,2284140,380690.0,404205,36045,109029,18171.5,30000,0.04773304274998785,0.9517226206934483
500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,0,0,0.0,0,0,109699,18283.166666666668,23638,7277,8816,1469.3333333333333,2000,0.08036463081130356,0.03656626020081293
70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,0,0,0.0,0,0,244242,40707.0,72060,69970,12120,2020.0,4025,0.04962271180750318,0.5815202639962286
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,6,2,2.0,1,6,157674,26279.0,28264,-3277,6125,1020.8333333333334,2700,0.038845726970033294,0.5255694886102278
50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,0,0,0.0,0,0,57884,9647.333333333334,29166,28718,1000,166.66666666666666,1000,0.01727563272004837,0.19294280781051046
130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,0,0,0.0,0,0,2452,408.6666666666667,2353,99,2353,392.1666666666667,2353,0.9592335915205871,0.0031435655623161876
200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,2,2,0.6666666666666666,0,2,469636,78272.66666666667,152519,144601,9522,1587.0,8222,0.020275233850825213,0.3913613765264507
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,3,2,1.0,1,3,22852,3808.6666666666665,4326,-2229,3010,501.6666666666667,2300,0.1317113726862994,0.3808285838082858
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,1,2,0.3333333333333333,1,1,8589,1431.5,4250,-3950,9198,1533.0,4250,1.070779976717113,0.006816634206503779
130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,2,2,0.5,1,1,7901,1316.8333333333333,10311,-7509,41379,6896.5,20161,5.236522399392559,0.010129409260954403
20000,1,4,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,1,2,0.3333333333333333,1,1,88326,14721.0,18565,12583,3700,616.6666666666666,1200,0.041889795872156875,0.736013199340033
80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,0,0,0.0,0,0,2340,390.0,780,390,1950,325.0,390,0.8329773601025203,0.004874939063261709
320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,6,2,2.0,1,6,362152,60358.666666666664,63526,-5259,13800,2300.0,4800,0.03810544162273956,0.18862024389507115
200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,1,2,0.3333333333333333,0,1,26425,4404.166666666667,9076,5925,19512,3252.0,9102,0.7383637326875048,0.022020723229717185
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,1,1,0.16666666666666666,1,0,5514,919.0,3155,0,5514,919.0,3155,0.999818676337262,0.003168954589811759
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,0,0,0.0,0,0,142199,23699.833333333332,80153,-22772,141997,23666.166666666668,80552,0.9985724331926864,0.06970518714160644
20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,1,2,0.3333333333333333,0,1,101328,16888.0,18543,-3924,5590,931.6666666666666,2850,0.05516683279219177,0.8443577821108944
50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,0,0,0.0,0,0,145406,24234.333333333332,42838,32808,6358,1059.6666666666667,1779,0.04372554278679844,0.4846769731272041
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0.0,0,0,1746,291.0,291,0,1746,291.0,291,0.9994275901545506,0.0009699967666774444
30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,0,0,0.0,0,0,149186,24864.333333333332,30326,21976,8411,1401.8333333333333,3000,0.05637890700932387,0.8287834849949446
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.16666666666666666,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0
470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,0,0,0.0,0,0,614823,102470.5,165254,135365,21926,3654.3333333333335,7566,0.035662238299090473,0.21802187654919883
360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,0,0,0.0,0,0,294903,49150.5,180000,23215,161355,26892.5,146900,0.5471441553861596,0.13652878742003494
60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,0,0,0.0,0,0,143566,23927.666666666668,28108,6553,5345,890.8333333333334,1576,0.0372300041095795,0.3987877979811448
400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,1,2,0.3333333333333333,0,1,700952,116825.33333333333,139060,37537,22753,3792.1666666666665,10700,0.03246009361540645,0.29206260317682536
50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,0,0,0.0,0,0,177499,29583.166666666668,48909,29427,6052,1008.6666666666666,1676,0.03409577464788732,0.5916515003033272
160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,0,0,0.0,0,0,667013,111168.83333333333,130028,9610,101747,16957.833333333332,80000,0.15254102612538867,0.6948008658279219
360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,1,2,0.3333333333333333,0,1,3510,585.0,1170,0,2340,390.0,1170,0.6664767872401025,0.0016249954861236498
160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,0,0,0.0,0,0,31623,5270.5,8604,3060,8216,1369.3333333333333,2303,0.2598026815077157,0.032940419122380486
130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,0,0,0.0,0,0,226534,37755.666666666664,117866,80123,56705,9450.833333333334,40000,0.2503145209349549,0.2904259710822737
20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,3,2,1.0,1,3,61309,10218.166666666666,12314,-3387,6151,1025.1666666666667,2000,0.10032621105855488,0.5108827891938736
200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,6,2,2.0,1,6,862167,143694.5,149531,-11351,32800,5466.666666666667,6300,0.03804362954783754,0.7184689076554617
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,0,0,0.0,0,0,15360,2560.0,7524,7524,3968,661.3333333333334,3968,0.2583165158518326,0.009142824489912537
100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,0,0,0.0,0,0,3555,592.5,5555,-2000,7555,1259.1666666666667,7555,2.124578177727784,0.0059249407505924945
160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,0,0,0.0,0,0,4162,693.6666666666666,1602,880,11018,1836.3333333333333,7736,2.646649051165025,0.004335389570481851
60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,0,0,0.0,0,0,197839,32973.166666666664,47214,26325,6261,1043.5,1937,0.03164678528103518,0.5495436187174658
90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,0,0,0.0,0,0,354716,59119.333333333336,87653,52890,11756,1959.3333333333333,3621,0.0331419131307493,0.6568741828794495
360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,0,0,0.0,0,0,58460,9743.333333333334,26370,-5989,120613,20102.166666666668,68978,2.0631361078325723,0.027064739634982498
150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,0,0,0.0,0,0,479411,79901.83333333333,89775,45221,23841,3973.5,10006,0.04972966884433431,0.5326753377199708
50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,0,0,0.0,0,0,83794,13965.666666666666,18722,10823,3783,630.5,1411,0.04514589175965153,0.27930774717838974
20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,0,0,0.0,0,0,93217,15536.166666666666,19559,17823,5685,947.5,1750,0.060986075650625415,0.7767694948585904
140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,0,0,0.0,0,0,13679,2279.8333333333335,10212,-758,13007,2167.8333333333335,10212,0.9508040935672515,0.016284407492327437
380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,0,0,0.0,0,0,132602,22100.333333333332,34056,-34137,42019,7003.166666666667,33178,0.31687820034237535,0.0581586188808275
480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,2,2,0.6666666666666666,0,2,2761015,460169.1666666667,487066,-47892,130971,21828.5,55693,0.047435798995732005,0.9586837666310418
50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,0,0,0.0,0,0,205366,34227.666666666664,44698,20604,6870,1145.0,1767,0.03345230733272629,0.6845396425404825
60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,5,2,1.6666666666666667,1,5,342038,57006.333333333336,60218,1380,13517,2252.8333333333335,5000,0.03951888527331678,0.9500897207268768
70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,0,0,0.0,0,0,32109,5351.5,26529,-20949,28529,4754.833333333333,26529,0.8884771099345998,0.07644890787274468
80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,0,0,0.0,0,0,17865,2977.5,6108,4958,12794,2132.3333333333335,3319,0.716108810030225,0.03721828477144036
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,0,0,0.0,0,0,10987,1831.1666666666667,5263,-4550,15285,2547.5,5263,1.391062977793957,0.0052318898136481514
130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,0,0,0.0,0,0,680938,113489.66666666667,178382,44870,287768,47961.333333333336,133841,0.42260466796585305,0.8729907205842007
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,1,1,0.16666666666666666,1,0,-618,-103.0,-103,0,0,0.0,0,0.0,-0.00028611031636023235
330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0,1,2,0.3333333333333333,0,1,639580,106596.66666666667,108431,-1410,32747,5457.833333333333,15794,0.05120070796349485,0.3230192231740712
50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,1,2,0.3333333333333333,0,1,93139,15523.166666666666,17393,-4149,7000,1166.6666666666667,2000,0.0751556796220743,0.31045712419084953
