check,status,value,notes
numeric_audit_NumSatisfactoryTrades,pass,"{""max"": 79.0, ""mean"": 21.12146692331071, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 11.321395589373205}",Number of satisfactory trades.
numeric_audit_NumTrades60Ever2DerogPubRec,pass,"{""max"": 19.0, ""mean"": 0.5814000607841151, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 1.238783313737771}",Number of trades ever 60+ days delinquent or derogatory public records.
numeric_audit_NumTrades90Ever2DerogPubRec,pass,"{""max"": 19.0, ""mean"": 0.38476344848546246, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 0.9932226478651403}",Number of trades ever 90+ days delinquent or derogatory public records.
numeric_audit_PercentTradesNeverDelq,pass,"{""max"": 100.0, ""mean"": 92.35994326815926, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 11.772876463281133}",Percentage of trades that were never delinquent.
numeric_audit_MSinceMostRecentDelq,review,"{""max"": 83.0, ""mean"": 21.879546809779367, ""min"": 0.0, ""missing_after_cleaning"": 4840, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 20.80851353795818}",Months since most recent delinquency.
numeric_audit_MaxDelq2PublicRecLast12M,pass,"{""max"": 9.0, ""mean"": 5.757977915104853, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 1.6445177487814762}",Maximum delinquency or public record severity in the last 12 months.
numeric_audit_MaxDelqEver,pass,"{""max"": 8.0, ""mean"": 6.3745314557795565, ""min"": 2.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 1.849186058465453}",Maximum delinquency severity ever observed.
numeric_audit_NumTotalTrades,pass,"{""max"": 104.0, ""mean"": 22.6354979232094, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 12.999924095825897}",Total number of trades.
numeric_audit_NumTradesOpeninLast12M,pass,"{""max"": 19.0, ""mean"": 1.8638435822105157, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 1.828098978121427}",Number of trades opened in the last 12 months.
numeric_audit_PercentInstallTrades,pass,"{""max"": 100.0, ""mean"": 34.618680984702664, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 17.953431585540944}",Percentage of installment trades.
numeric_audit_MSinceMostRecentInqexcl7days,review,"{""max"": 24.0, ""mean"": 2.4777188328912465, ""min"": 0.0, ""missing_after_cleaning"": 2331, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 4.760412547760339}",Months since most recent inquiry excluding the last 7 days.
numeric_audit_NumInqLast6M,pass,"{""max"": 66.0, ""mean"": 1.4559821699929085, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 2.136160999288122}",Number of inquiries in the last 6 months.
numeric_audit_NumInqLast6Mexcl7days,pass,"{""max"": 66.0, ""mean"": 1.3971228852193294, ""min"": 0.0, ""missing_after_cleaning"": 0, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 2.09610238700608}",Number of inquiries in the last 6 months excluding the last 7 days.
numeric_audit_NetFractionRevolvingBurden,review,"{""max"": 232.0, ""mean"": 34.857718120805366, ""min"": 0.0, ""missing_after_cleaning"": 186, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 28.896627307724177}",Net fraction of revolving credit burden.
numeric_audit_NetFractionInstallBurden,review,"{""max"": 471.0, ""mean"": 68.5379727216367, ""min"": 0.0, ""missing_after_cleaning"": 3419, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 24.903776055083835}",Net fraction of installment credit burden.
numeric_audit_NumRevolvingTradesWBalance,review,"{""max"": 32.0, ""mean"": 4.102110138960371, ""min"": 0.0, ""missing_after_cleaning"": 156, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 3.021621126013216}",Number of revolving trades with balance.
numeric_audit_NumInstallTradesWBalance,review,"{""max"": 23.0, ""mean"": 2.4849056603773585, ""min"": 1.0, ""missing_after_cleaning"": 861, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 1.6345030766105533}",Number of installment trades with balance.
numeric_audit_NumBank2NatlTradesWHighUtilization,review,"{""max"": 18.0, ""mean"": 1.092269595176572, ""min"": 0.0, ""missing_after_cleaning"": 583, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 1.536250350753038}",Number of bankcard or national trades with high utilization.
numeric_audit_PercentTradesWBalance,review,"{""max"": 100.0, ""mean"": 66.44900030447579, ""min"": 0.0, ""missing_after_cleaning"": 18, ""special_code_counts_raw"": {""-7"": 0, ""-8"": 0, ""-9"": 0}, ""std"": 22.03545942456532}",Percentage of trades with balance.
