dataset,model,threshold_type,threshold,calibration_type,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier,ece,tn,fp,fn,tp,expected_cost_FN5_FP1,notes
taiwan,Best Scorecard,operational_current,0.16,isotonic,0.6628333333333334,0.36936936936936937,0.7415222305953278,0.6404879092659962,0.4931094963668254,0.772310218670291,0.5428529752936853,0.13698023547429067,0.013838796992413097,2993,1680,343,984,3395.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.13, high=0.26, selected on validation; source_model=woe_scorecard_logistic_regression; selected on validation within family"
taiwan,SCRE-Optimized,fixed_0_50,0.5,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.8193333333333334,0.6768558951965066,0.35041446872645066,0.9524930451530066,0.4617676266137041,0.7846896124879075,0.5669357617133086,0.13376683606987527,0.010671981212882936,4451,222,862,465,4532.0,inference-only recomputation from saved model probabilities; SCRE weights/objective/threshold selected on validation only
taiwan,SCRE-Optimized,cost_optimal_current,0.16,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.6453333333333333,0.3601117708697171,0.7769404672192917,0.6079606248662529,0.4921241050119331,0.7846896124879075,0.5669357617133086,0.1337668360698752,0.0106719812128829,2841,1832,296,1031,3312.0,frozen final test row read from existing result table; SCRE weights/objective/threshold selected on validation only
taiwan,SCRE-Optimized,operational_current,0.16,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.6453333333333333,0.3601117708697171,0.7769404672192917,0.6079606248662529,0.49212410501193316,0.7846896124879075,0.5669357617133086,0.13376683606987527,0.010671981212882936,2841,1832,296,1031,3312.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.15, high=0.29, selected on validation; SCRE weights/objective/threshold selected on validation only"
taiwan,SCRE-Optimized,scre_saved_threshold,0.16,weighted_sum_of_calibrated_pareto_front_probabilities_no_final_calibration,0.6453333333333333,0.3601117708697171,0.7769404672192917,0.6079606248662529,0.49212410501193316,0.7846896124879075,0.5669357617133086,0.13376683606987527,0.010671981212882936,2841,1832,296,1031,3312.0,saved SCRE-Optimized threshold from scre_optimized joblib bundle; SCRE weights/objective/threshold selected on validation only
taiwan,SCRE-Pareto,fixed_0_50,0.5,weighted_sum_of_calibrated_pareto_front_probabilities,0.8198333333333333,0.6777456647398844,0.35342878673700073,0.9522790498609031,0.4645864289252105,0.7838847515211484,0.5661401114278397,0.13401665754848427,0.011268758169309702,4450,223,858,469,4513.0,inference-only recomputation from saved model probabilities; SCRE weights/objective/threshold selected on validation only
taiwan,SCRE-Pareto,cost_optimal_current,0.16,weighted_sum_of_calibrated_pareto_front_probabilities,0.6448333333333334,0.3599303135888502,0.7784476262245666,0.606890648405735,0.4922563736001906,0.7838847515211484,0.5661401114278397,0.1340166575484842,0.0112687581693097,2836,1837,294,1033,3307.0,frozen final test row read from existing result table; SCRE weights/objective/threshold selected on validation only
taiwan,SCRE-Pareto,operational_current,0.16,weighted_sum_of_calibrated_pareto_front_probabilities,0.6448333333333334,0.3599303135888502,0.7784476262245666,0.606890648405735,0.4922563736001906,0.7838847515211484,0.5661401114278397,0.13401665754848427,0.011268758169309702,2836,1837,294,1033,3307.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.14, high=0.25, selected on validation; SCRE weights/objective/threshold selected on validation only"
taiwan,SCRE-Pareto,scre_saved_threshold,0.16,weighted_sum_of_calibrated_pareto_front_probabilities,0.6448333333333334,0.3599303135888502,0.7784476262245666,0.606890648405735,0.4922563736001906,0.7838847515211484,0.5661401114278397,0.13401665754848427,0.011268758169309702,2836,1837,294,1033,3307.0,saved SCRE-Pareto threshold from scre_pareto joblib bundle; SCRE weights/objective/threshold selected on validation only
taiwan,Old SCRE-Credit,fixed_0_50,0.5,weighted_sum_plus_isotonic,0.8191666666666667,0.6617647058823529,0.3730218538055765,0.9458591910977958,0.4771084337349398,0.78157176397432,0.5444404951784547,0.13447458466250192,0.01613451433701308,4420,253,832,495,4413.0,inference-only recomputation from saved model probabilities; source_model=SCRE-Credit; selected on validation within family
taiwan,Old SCRE-Credit,cost_optimal_current,0.16,weighted_sum_plus_isotonic,0.6543333333333333,0.3643298220123501,0.7558402411454408,0.625508238818746,0.4916666666666666,0.78157176397432,0.5444404951784547,0.1344745846625019,0.016134514337013,2923,1750,324,1003,3370.0,frozen final test row read from existing result table; source_model=SCRE-Credit; selected on validation within family
taiwan,Old SCRE-Credit,operational_current,0.16,weighted_sum_plus_isotonic,0.6543333333333333,0.36432982201235015,0.7558402411454408,0.625508238818746,0.49166666666666664,0.78157176397432,0.5444404951784547,0.13447458466250192,0.01613451433701308,2923,1750,324,1003,3370.0,"threshold-only anchor from manual-review revision; manual band also uses low=0.11, high=0.23, selected on validation; source_model=SCRE-Credit; selected on validation within family"
taiwan,Old SCRE-Credit,scre_saved_threshold,0.16,weighted_sum_plus_isotonic,0.6543333333333333,0.36432982201235015,0.7558402411454408,0.625508238818746,0.49166666666666664,0.78157176397432,0.5444404951784547,0.13447458466250192,0.01613451433701308,2923,1750,324,1003,3370.0,saved Old SCRE-Credit threshold from scre_credit_model.joblib; source_model=SCRE-Credit; selected on validation within family
