dataset,split,ranker_a,ranker_b,top10_overlap,top20_overlap,kendall_tau,spearman_corr,n_observations,stability_scope,seed_level_retraining,note,kendalls_w
heloc,validation,SCRE-Pareto,Scorecard benchmark,0.7676767676767676,0.8405063291139241,0.8601813437844539,0.974540899113914,1974.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,locked_test,SCRE-Optimized,SCRE-Pareto,0.9393939393939394,0.959493670886076,0.9623079784027804,0.9981060479203557,1975.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,locked_test,SCRE-Optimized,CatBoost benchmark,0.898989898989899,0.9215189873417722,0.9441153083337436,0.9955862091190414,1975.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,locked_test,SCRE-Optimized,Scorecard benchmark,0.7626262626262627,0.8354430379746836,0.8573116335141651,0.973338305987887,1975.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,locked_test,SCRE-Pareto,CatBoost benchmark,0.8434343434343434,0.9012658227848102,0.9167961710654076,0.9904813699886634,1975.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
heloc,locked_test,SCRE-Pareto,Scorecard benchmark,0.7777777777777778,0.8278481012658228,0.8560671001500518,0.9727907075276911,1975.0,ranker_variant_agreement,False,"Agreement between existing rankers, not a new seed/fold retraining experiment.",
taiwan,not_split_specific,SHAP stability source: LightGBM,top_5_features,,,,,50.0,existing_shap_seed_stability_reference,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",0.8928
taiwan,not_split_specific,SHAP stability source: LightGBM,top_10_features,,,,,50.0,existing_shap_seed_stability_reference,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",0.9491103030303032
taiwan,not_split_specific,SHAP stability source: Best CatBoost,top_5_features,,,,,,existing_shap_seed_stability_reference,True,"The final operational model is Best CatBoost; current seed-level SHAP stability artifacts were produced for LightGBM only, so a model-specific Kendall's W is not available.",
taiwan,not_split_specific,SHAP stability source: Best CatBoost,top_10_features,,,,,,existing_shap_seed_stability_reference,True,"The final operational model is Best CatBoost; current seed-level SHAP stability artifacts were produced for LightGBM only, so a model-specific Kendall's W is not available.",
taiwan,not_split_specific,SHAP stability source: Best CatBoost,top_5_features,,,,,,existing_shap_seed_stability_reference,True,No CatBoost or XGBoost seed-level SHAP ranking table exists in the current outputs.,
taiwan,not_split_specific,SHAP stability source: Best CatBoost,top_10_features,,,,,,existing_shap_seed_stability_reference,True,No CatBoost or XGBoost seed-level SHAP ranking table exists in the current outputs.,
taiwan,not_split_specific,SHAP stability source: SCRE-Pareto,top_5_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
taiwan,not_split_specific,SHAP stability source: SCRE-Pareto,top_10_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
taiwan,not_split_specific,SHAP stability source: SCRE-Optimized,top_5_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
taiwan,not_split_specific,SHAP stability source: SCRE-Optimized,top_10_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
heloc,not_split_specific,SHAP stability source: LightGBM,top_5_features,,,,,50.0,existing_shap_seed_stability_reference,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",1.0
heloc,not_split_specific,SHAP stability source: LightGBM,top_10_features,,,,,50.0,existing_shap_seed_stability_reference,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",0.9949714285714286
heloc,not_split_specific,SHAP stability source: Best Scorecard,top_5_features,,,,,,existing_shap_seed_stability_reference,True,The final HELOC operational model is Best Scorecard; current HELOC seed-level SHAP stability artifacts were produced for LightGBM only.,
heloc,not_split_specific,SHAP stability source: Best Scorecard,top_10_features,,,,,,existing_shap_seed_stability_reference,True,The final HELOC operational model is Best Scorecard; current HELOC seed-level SHAP stability artifacts were produced for LightGBM only.,
heloc,not_split_specific,SHAP stability source: SCRE-Pareto,top_5_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
heloc,not_split_specific,SHAP stability source: SCRE-Pareto,top_10_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
heloc,not_split_specific,SHAP stability source: SCRE-Optimized,top_5_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
heloc,not_split_specific,SHAP stability source: SCRE-Optimized,top_10_features,,,,,,existing_shap_seed_stability_reference,True,SCRE-Optimized is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,
